category,Groep gemiddelde bodemvocht -10cm,Groep gemiddelde bodemvocht -20cm,Groep gemiddelde bodemvocht -30cm,Achter bij kerkhof bodemvocht -10cm,Achter bij kerkhof bodemvocht -20cm,Achter bij kerkhof bodemvocht -30cm
2021-06-18T11:30:56.000000Z,3.1,5.4,6.7,3.1,5.4,6.7
2021-06-18T13:30:56.000000Z,3.55,6.075,7.125,3,5.3,6.6
2021-06-19T00:51:22.000000Z,4.34444,6.85556,7.93333,3,5.3,6.6
2021-06-19T14:51:22.000000Z,4.2,6.5,7.7,3,5.3,6.6
2021-06-20T00:26:48.000000Z,4.4125,6.4,7.7125,3.1,5.5,6.7
2021-06-20T12:26:48.000000Z,4.4,6.28571,7.58571,3.1,5.5,6.7
2021-06-21T00:42:15.000000Z,4.62222,6.34444,7.67778,4.4,7.3,7.9
2021-06-21T12:57:42.000000Z,5.225,7.0375,8.6875,4.4,7.2,7.9
2021-06-22T00:57:42.000000Z,5.01667,7.03333,8.6,4.4,7.2,8
2021-06-22T12:03:08.000000Z,4.83333,6.9,8.4,4.4,7.1,8
2021-06-23T00:03:08.000000Z,5.025,6.95,8.4,4.4,7.1,8
2021-06-23T13:18:36.000000Z,4.96667,6.85556,8.25556,4.4,7,8
2021-06-24T00:18:36.000000Z,5.04444,6.86667,8.23333,4.4,7,8
2021-06-24T12:34:03.000000Z,4.98333,6.78333,8.08333,4.3,6.8,8
2021-06-25T01:14:30.000000Z,5.02222,6.8,8.07778,4.3,6.8,7.9